3D points: 67

[6.4385309, 0.61676991, -0.19670856;
 6.3009009, 0.88163668, -0.20172042;
 6.109374, 1.2522221, -0.20384364;
 6.1051726, 1.2522861, -0.20405373;
 5.2722445, 2.8540442, -0.21015041;
 5.9782438, 1.511755, -0.20596954;
 5.24263, 2.941638, -0.2115697;
 5.2774954, 2.8565195, -0.21123549;
 5.2348394, 2.9558828, -0.21170729;
 5.8824282, 1.6961217, -0.20847076;
 5.9057856, 1.6503741, -0.2082843;
 5.9213572, 1.6183444, -0.20818157;
 5.9228201, 1.6169628, -0.20816945;
 4.8804898, 3.6229146, -0.2187169;
 4.8885245, 3.6074195, -0.21863969;
 4.7946925, 3.7892001, -0.21985713;
 4.8031821, 3.7728229, -0.21977422;
 5.4160771, 2.5895946, -0.21385896;
 5.1864886, 3.0391173, -0.21666551;
 4.887383, 3.6186328, -0.2202702;
 4.8825288, 3.6229641, -0.22040246;
 4.930593, 3.5304091, -0.2200707;
 4.8387566, 3.7084472, -0.22128445;
 4.7962918, 3.7907047, -0.22181155;
 4.7259526, 3.9270952, -0.2227505;
 4.7895436, 3.8046024, -0.22230582;
 4.8028054, 3.7797742, -0.22260162;
 4.807622, 3.7769647, -0.22256723;
 4.539124, 4.2969465, -0.22568089;
 4.331985, 4.694488, -0.22801492;
 4.2719889, 4.8109632, -0.22887912;
 4.2339835, 4.8846517, -0.22935902;
 3.3863153, 6.5519924, -0.23883089;
 4.1508331, 5.0466251, -0.23035939;
 4.7993078, 3.7872906, -0.22306314;
 4.2180138, 4.9157348, -0.22964221;
 4.074203, 5.1959977, -0.23128897;
 3.3052304, 6.6932087, -0.24001585;
 3.7874684, 5.7554135, -0.23466454;
 4.2732806, 4.8089571, -0.22921266;
 4.6838784, 4.0118394, -0.22464725;
 4.2488079, 4.8615208, -0.22963467;
 4.0959282, 5.1467071, -0.23157993;
 4.5974169, 4.1848412, -0.22588176;
 2.4494319, 8.3503933, -0.2506007;
 4.2856078, 4.7986379, -0.22954485;
 4.490819, 4.3911915, -0.22735548;
 3.8912125, 5.5693917, -0.23437791;
 4.706203, 3.9743056, -0.22499578;
 5.1597004, 3.0921824, -0.21973254;
 3.6644304, 6.0039101, -0.23746754;
 3.7173572, 5.899971, -0.23691997;
 3.7268081, 5.8815527, -0.23683789;
 3.8133733, 5.707819, -0.23586638;
 4.027667, 5.2914486, -0.23351188;
 4.0821972, 5.1855187, -0.23292451;
 4.0742235, 5.2010174, -0.23305568;
 4.1800685, 4.9954004, -0.23182796;
 4.1561003, 5.0419674, -0.23213717;
 4.2143044, 4.9289069, -0.23147534;
 4.7816162, 3.8273566, -0.22467197;
 4.2039933, 4.9489393, -0.23160981;
 4.2270899, 4.9040856, -0.2313883;
 4.2582793, 4.8473926, -0.23101588;
 4.2631264, 4.8379602, -0.23096852;
 4.4149475, 4.5392747, -0.2292988;
 4.4558654, 4.459815, -0.22883378]
