3D points: 58

[48.753513, 18.375841, 1.0245023;
 52.696735, 3.707777, 0.75967097;
 50.228668, 15.384864, 0.89998239;
 52.625065, 4.0305161, 0.76074994;
 52.536274, 4.5436616, 0.76210934;
 52.361267, 5.2399907, 0.76196772;
 52.383919, 5.2506256, 0.76225531;
 52.671719, 3.9232278, 0.74297637;
 52.139961, 6.2395062, 0.76461631;
 52.116203, 6.3481359, 0.76473856;
 51.531048, 9.2563848, 0.77941078;
 51.461884, 9.5918808, 0.77867222;
 51.59584, 9.1263962, 0.77625561;
 51.31633, 10.287749, 0.77741361;
 50.889561, 12.326224, 0.77258301;
 50.623951, 13.643112, 0.74642533;
 51.951405, 7.4930711, 0.7251659;
 50.858097, 12.657964, 0.74276149;
 51.911854, 7.6603489, 0.72451663;
 50.314983, 15.122629, 0.72102123;
 50.356403, 14.939523, 0.72060859;
 50.360123, 14.924603, 0.71993423;
 43.870129, 45.026665, 0.73836261;
 49.879112, 17.213352, 0.70825863;
 49.866814, 17.292631, 0.70807952;
 49.774349, 17.780476, 0.70796001;
 46.630424, 32.354691, 0.71128118;
 48.59343, 23.22942, 0.70475864;
 39.167873, 67.694336, 0.71254569;
 39.331272, 66.944191, 0.71186131;
 48.863514, 22.074896, 0.70186281;
 48.885056, 21.876955, 0.70150894;
 30.075811, 110.99293, 0.71468878;
 48.863312, 21.979864, 0.70126069;
 48.862717, 21.983017, 0.70117432;
 48.906662, 21.779118, 0.70072472;
 48.957943, 21.581776, 0.70043612;
 16.413372, 175.55907, 0.71706653;
 49.014179, 21.278198, 0.70010507;
 49.002487, 21.336296, 0.69932157;
 49.08136, 21.005728, 0.69883728;
 49.016712, 21.352613, 0.69875938;
 49.121563, 20.853828, 0.69866955;
 49.131622, 20.806442, 0.69866878;
 40.136345, 63.099567, 0.68918633;
 41.399853, 56.846592, 0.69045228;
 48.597061, 23.303528, 0.6934877;
 31.027103, 105.52496, 0.67605931;
 32.745922, 98.124359, 0.67123103;
 37.365589, 76.252495, 0.67281765;
 41.055637, 58.844654, 0.67849481;
 37.360523, 75.907684, 0.67307931;
 14.219893, 184.26913, 0.63777655;
 46.203693, 34.513504, 0.68643671;
 10.419429, 202.06935, 0.62651294;
 37.981071, 73.244225, 0.67202914;
 47.797356, 27.069485, 0.68780899;
 30.902605, 106.80312, 0.65187138]
